Company	Role	Location	Link
Ciena	Routing/IP Software Developer Intern - Packet Control Plane - Routing and MPLS technologies	Ottawa, ON, Canada	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Routing-IP-Software-Developer-Intern--Winter-2026-_R029036-1?utm_source=Simplify&ref=Simplify
Rocket Lab USA	Software Intern Summer 2026	Toronto, ON, Canada	https://job-boards.greenhouse.io/rocketlab/jobs/7330647003?utm_source=Simplify&ref=Simplify
Lumentum	Embedded Software Engineer Intern	Ottawa, ON, Canada	https://lumentum.wd5.myworkdayjobs.com/en-US/LITE/job/Canada---Ottawa-Bill-Leathem/Embedded-Software-Engineer-Co-op-Intern_20251423?utm_source=Simplify&ref=Simplify
Qualcomm	FY26 Intern – Telemetry and Tuning Software Engineering Internship - Interim Engineering Intern - SW	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446714637545?utm_source=Simplify&ref=Simplify
Marvell	Firmware Intern	Toronto, ON, Canada	https://marvell.wd1.myworkdayjobs.com/MarvellCareers/job/Toronto-Canada/Firmware-Intern---Bachelor-s-Degree_2502404?utm_source=Simplify&ref=Simplify
Qualcomm	FY26 Intern – Embedded Software Engineering Intern - Interim Engineering Intern - Systems	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446714550295?utm_source=Simplify&ref=Simplify
Qualcomm	FY26 Intern – Software Validation Engineering Internship - Interim Engineering Intern - SW	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446714531539?utm_source=Simplify&ref=Simplify
↳	FY26 Intern – Display Systems Engineering Internship - Interim Engineering Intern - SW	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446714531923?utm_source=Simplify&ref=Simplify
Wind River	Engineering Intern	Kanata, Ottawa, ON, Canada	https://jobs.jobvite.com/windriver/job/o6Ghxfwk?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify
Wind River	Engineering Intern	Kanata, Ottawa, ON, Canada	https://jobs.jobvite.com/windriver/job/o0Ehxfwc?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify
↳	Engineering Intern	Kanata, Ottawa, ON, Canada	https://jobs.jobvite.com/windriver/job/oGFhxfwT?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify
↳	Engineering Intern	Kanata, Ottawa, ON, Canada	https://jobs.jobvite.com/windriver/job/ohFhxfwu?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify
Wind River	Engineering Intern	Kanata, Ottawa, ON, Canada	https://jobs.jobvite.com/windriver/job/oKGhxfwY?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify
↳	Engineering Intern	Kanata, Ottawa, ON, Canada	https://jobs.jobvite.com/windriver/job/oTGhxfw7?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify
↳	Engineering Intern	Kanata, Ottawa, ON, Canada	https://jobs.jobvite.com/windriver/job/omEhxfwy?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify
Marvell	Model Correlation & SI Intern 🎓	Ottawa, ON, Canada	https://marvell.wd1.myworkdayjobs.com/MarvellCareers/job/Ottawa-Canada/Model-Correlation---SI-Intern---Master-s-Degree_2502364?utm_source=Simplify&ref=Simplify
RTX	Junior Software Engineer Intern/Co-op - Software Development - Multiple Teams	Ottawa, ON, Canada	🔒
Tenstorrent	SoC Digital Design Engineer Intern - Pey	Toronto, ON, Canada	🔒
Hexagon AB	Geomatics Engineering Intern - Sensor Fusion	Calgary, AB, Canada	🔒
Tenstorrent	AI SoC Design Verification PEY/Co-Op	Toronto, ON, Canada	🔒
Hexagon AB	Agriculture Engineering Intern - Agriculture Engineering	Calgary, AB, Canada	🔒
Wind River	Engineering Intern	Kanata, Ottawa, ON, Canada	🔒
↳	Engineering Intern	Kanata, Ottawa, ON, Canada	🔒
Intelcom | Dragonfly	Embedded Software Development Intern	Montreal, QC, Canada	🔒
Altera Corporation	AI Hardware Engineer – Intern	Toronto, ON, Canada	🔒
Lumentum	Embedded Software Devsecops Co-op/Intern	Ottawa, ON, Canada	🔒
↳	Embedded Software Engineer Co-op/Intern	Ottawa, ON, Canada	🔒
RTX	Digital Technology Co-Op Student	Barrie, ON, Canada	🔒
Geotab	Hardware Reliability & Sustaining Intern	Oakville, ON, Canada	🔒
↳	Hardware Developer Interns	Oakville, ON, Canada	🔒
↳	Embedded Software Developer Co-op	Hamilton, ON, Canada	🔒
↳	Embedded Software Developer Co-op 1	Hamilton, ON, Canada	🔒
Veolia	Firmware Engineer Intern	Montreal, QC, Canada	🔒
L3Harris Technologies	Operations Test Engineering – Hardware Co-op	Hamilton, ON, Canada	🔒
L3Harris Technologies	Embedded Software Developer Co-op 1	Hamilton, ON, Canada	🔒
L3Harris Technologies	Applied Systems Engineering Coop	Hamilton, ON, Canada	🔒
Rockwell Automation	Co-op – Firmware Engineering	Cambridge, ON, Canada	🔒
Ciena	Embedded Software Engineer Co-Op	Ottawa, ON, Canada	🔒
